customer_id,last_purchase_date,frequency,monetary,recency,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Customer_Type
12346.0,2011-01-18 10:01:00,12,77556.46,326,2,5,5,255,12,Loyal Customer
12347.0,2011-12-07 15:52:00,8,5633.32,2,5,4,5,545,14,Top Customer
12348.0,2011-09-25 13:13:00,5,2019.3999999999999,75,3,4,4,344,11,Loyal Customer
12349.0,2011-11-21 09:51:00,4,4428.69,19,5,3,5,535,13,Top Customer
12350.0,2011-02-02 16:01:00,1,334.4,310,2,1,2,212,5,Needs Attention
12351.0,2010-11-29 15:23:00,1,300.93,375,2,1,2,212,5,Needs Attention
12352.0,2011-11-03 14:37:00,10,2849.84,36,4,5,4,454,13,Top Customer
12353.0,2011-05-19 17:47:00,2,406.76,204,2,2,2,222,6,Needs Attention
12354.0,2011-04-21 13:11:00,1,1079.4,232,2,1,3,213,6,Needs Attention
12355.0,2011-05-09 13:49:00,2,947.61,214,2,2,3,223,7,Needs Attention
12356.0,2011-11-17 08:40:00,6,6373.68,23,4,4,5,445,13,Top Customer
12357.0,2011-11-06 16:07:00,3,18287.66,33,4,3,5,435,12,Loyal Customer
12358.0,2011-12-08 10:26:00,5,3887.07,2,5,4,5,545,14,Top Customer
12359.0,2011-10-13 12:47:00,10,8935.94,58,4,5,5,455,14,Top Customer
12360.0,2011-10-18 15:22:00,8,4252.89,52,4,4,5,445,13,Top Customer
12361.0,2011-02-25 13:51:00,4,511.25,287,2,3,2,232,7,Needs Attention
12362.0,2011-12-06 15:40:00,11,5356.23,3,5,5,5,555,15,Top Customer
12363.0,2011-08-22 10:18:00,2,552.0,110,3,2,2,322,7,Needs Attention
12364.0,2011-12-02 10:22:00,4,1313.1,8,5,3,4,534,12,Loyal Customer
12365.0,2011-02-21 14:04:00,2,641.38,291,2,2,3,223,7,Needs Attention
12366.0,2010-03-16 10:28:00,1,500.24,634,1,1,2,112,4,At Risk
12367.0,2011-12-05 16:48:00,1,168.9,4,5,1,1,511,7,Needs Attention
12368.0,2010-03-21 15:56:00,1,917.6999999999999,628,1,1,3,113,5,Needs Attention
12369.0,2010-10-22 13:13:00,3,1791.15,413,1,3,4,134,8,Needs Attention
12370.0,2011-10-19 14:51:00,7,4320.31,51,4,4,5,445,13,Top Customer
12371.0,2011-10-26 10:16:00,5,4067.38,45,4,4,5,445,13,Top Customer
12372.0,2011-09-29 12:12:00,3,1298.04,72,3,3,4,334,10,Loyal Customer
12373.0,2011-02-01 13:10:00,3,1127.65,311,2,3,3,233,8,Needs Attention
12374.0,2011-11-14 15:37:00,4,2989.22,25,4,3,5,435,12,Loyal Customer
12375.0,2011-11-29 10:36:00,2,457.5,11,5,2,2,522,9,Loyal Customer
12376.0,2010-11-15 12:15:00,2,503.15,390,2,2,2,222,6,Needs Attention
12377.0,2011-01-28 15:45:00,4,3426.32,315,2,3,5,235,10,Loyal Customer
12378.0,2011-08-02 10:34:00,2,5416.32,130,3,2,5,325,10,Loyal Customer
12379.0,2011-09-19 10:09:00,4,1620.22,82,3,3,4,334,10,Loyal Customer
12380.0,2011-11-18 11:27:00,11,9676.3,22,4,5,5,455,14,Top Customer
12381.0,2011-12-05 12:44:00,5,1845.31,5,5,4,4,544,13,Top Customer
12383.0,2011-06-08 08:02:00,5,1850.56,185,3,4,4,344,11,Loyal Customer
12384.0,2011-11-11 08:39:00,2,585.27,29,4,2,2,422,8,Needs Attention
12385.0,2010-11-25 15:14:00,1,1938.4,379,2,1,4,214,7,Needs Attention
12386.0,2011-01-06 12:37:00,2,660.8,338,2,2,3,223,7,Needs Attention
12387.0,2010-10-20 16:27:00,1,143.94,415,1,1,1,111,3,At Risk
12388.0,2011-11-24 12:30:00,8,3901.11,16,5,4,5,545,14,Top Customer
12389.0,2010-11-02 11:52:00,3,1433.33,403,2,3,4,234,9,Loyal Customer
12390.0,2011-09-21 09:33:00,1,549.84,80,3,1,2,312,6,Needs Attention
12391.0,2011-11-18 12:07:00,6,2773.42,22,4,4,4,444,12,Loyal Customer
12392.0,2010-04-27 14:04:00,1,234.75000000000003,591,1,1,1,111,3,At Risk
12393.0,2011-09-28 15:41:00,6,2399.4500000000003,72,3,4,4,344,11,Loyal Customer
12394.0,2011-10-07 08:08:00,2,1272.48,64,3,2,4,324,9,Loyal Customer
12395.0,2011-11-20 15:21:00,15,5067.27,19,5,5,5,555,15,Top Customer
12396.0,2010-02-03 13:22:00,1,931.43,674,1,1,3,113,5,Needs Attention
12397.0,2011-11-04 09:52:00,2,2409.9,36,4,2,4,424,10,Loyal Customer
12398.0,2011-10-25 10:27:00,1,1635.66,46,4,1,4,414,9,Loyal Customer
12399.0,2011-08-12 13:15:00,7,1962.3,119,3,4,4,344,11,Loyal Customer
12400.0,2010-10-21 13:45:00,1,205.25,414,1,1,1,111,3,At Risk
12401.0,2011-02-09 13:50:00,1,84.3,303,2,1,1,211,4,At Risk
12402.0,2011-01-20 13:49:00,6,1256.9,323,2,4,4,244,10,Loyal Customer
12403.0,2011-10-21 10:51:00,2,1019.36,50,4,2,3,423,9,Loyal Customer
12404.0,2010-01-26 16:25:00,1,63.24,682,1,1,1,111,3,At Risk
12405.0,2011-07-14 08:52:00,1,1710.39,149,3,1,4,314,8,Needs Attention
12406.0,2011-11-17 19:22:00,5,6390.36,22,4,4,5,445,13,Top Customer
12407.0,2011-10-21 10:11:00,5,1708.12,50,4,4,4,444,12,Loyal Customer
12408.0,2011-11-07 12:27:00,8,4340.7699999999995,33,4,4,5,445,13,Top Customer
12409.0,2011-09-22 10:38:00,7,23419.29,79,3,4,5,345,12,Loyal Customer
12410.0,2011-02-04 10:39:00,3,1013.71,309,2,3,3,233,8,Needs Attention
12411.0,2010-10-26 09:25:00,1,346.9,410,2,1,2,212,5,Needs Attention
12412.0,2011-09-26 10:16:00,6,2596.93,75,3,4,4,344,11,Loyal Customer
12413.0,2011-10-04 09:00:00,4,999.45,67,3,3,3,333,9,Loyal Customer
12414.0,2011-05-06 14:51:00,6,952.41,217,2,4,3,243,9,Loyal Customer
12415.0,2011-11-15 14:22:00,28,144458.37,24,4,5,5,455,14,Top Customer
